transaction_id,payment_method,card_type,status
TXN000000,Credit Card,Amex,Success
TXN000001,Bank Transfer,None,Pending
TXN000002,Bank Transfer,None,Success
TXN000003,Bank Transfer,None,Success
TXN000004,Crypto,None,Pending
TXN000005,Bank Transfer,None,Failed
TXN000006,Credit Card,Amex,Pending
TXN000007,Bank Transfer,None,Pending
TXN000008,PayPal,None,Success
TXN000009,Crypto,None,Pending
TXN000010,PayPal,None,Pending
TXN000011,Bank Transfer,None,Success
TXN000012,Credit Card,MasterCard,Pending
TXN000013,Crypto,None,Success
TXN000014,Debit Card,Amex,Failed
TXN000015,Debit Card,Visa,Failed
TXN000016,Bank Transfer,None,Pending
TXN000017,Crypto,None,Success
TXN000018,Credit Card,MasterCard,Failed
TXN000019,Credit Card,None,Success
TXN000020,Crypto,None,Pending
TXN000021,PayPal,None,Failed
TXN000022,Debit Card,Visa,Success
TXN000023,Crypto,None,Failed
TXN000024,PayPal,None,Pending
TXN000025,Credit Card,Visa,Success
TXN000026,PayPal,None,Failed
TXN000027,Bank Transfer,None,Failed
TXN000028,Bank Transfer,None,Success
TXN000029,Bank Transfer,None,Failed
TXN000030,Bank Transfer,None,Pending
TXN000031,Debit Card,Visa,Pending
TXN000032,Crypto,None,Pending
TXN000033,Credit Card,Amex,Pending
TXN000034,Debit Card,None,Success
TXN000035,Bank Transfer,None,Pending
TXN000036,PayPal,None,Pending
TXN000037,Crypto,None,Failed
TXN000038,Crypto,None,Success
TXN000039,Debit Card,MasterCard,Failed
TXN000040,Credit Card,Amex,Pending
TXN000041,Credit Card,Visa,Success
TXN000042,Crypto,None,Success
TXN000043,Bank Transfer,None,Pending
TXN000044,PayPal,None,Success
TXN000045,Crypto,None,Failed
TXN000046,Crypto,None,Success
TXN000047,Credit Card,Amex,Failed
TXN000048,Crypto,None,Pending
TXN000049,Bank Transfer,None,Pending
TXN000050,Crypto,None,Success
TXN000051,PayPal,None,Success
TXN000052,Debit Card,Visa,Pending
TXN000053,Debit Card,Amex,Pending
TXN000054,Credit Card,None,Success
TXN000055,Crypto,None,Success
TXN000056,Credit Card,MasterCard,Pending
TXN000057,Credit Card,MasterCard,Success
TXN000058,Debit Card,MasterCard,Success
TXN000059,Debit Card,Visa,Failed
TXN000060,Credit Card,None,Success
TXN000061,Crypto,None,Pending
TXN000062,Credit Card,Amex,Failed
TXN000063,PayPal,None,Failed
TXN000064,PayPal,None,Failed
TXN000065,Debit Card,Visa,Failed
TXN000066,Bank Transfer,None,Failed
TXN000067,Crypto,None,Failed
TXN000068,Crypto,None,Pending
TXN000069,Debit Card,Amex,Pending
TXN000070,Bank Transfer,None,Success
TXN000071,Crypto,None,Failed
TXN000072,Credit Card,None,Pending
TXN000073,PayPal,None,Failed
TXN000074,Credit Card,MasterCard,Success
TXN000075,Credit Card,Amex,Pending
TXN000076,Crypto,None,Pending
TXN000077,Credit Card,None,Failed
TXN000078,Bank Transfer,None,Pending
TXN000079,Crypto,None,Failed
TXN000080,Credit Card,Amex,Success
TXN000081,Credit Card,Amex,Pending
TXN000082,Credit Card,Amex,Pending
TXN000083,Credit Card,MasterCard,Success
TXN000084,Crypto,None,Success
TXN000085,Bank Transfer,None,Pending
TXN000086,Crypto,None,Success
TXN000087,Credit Card,None,Failed
TXN000088,Debit Card,None,Success
TXN000089,PayPal,None,Success
TXN000090,Debit Card,Visa,Failed
TXN000091,PayPal,None,Success
TXN000092,Bank Transfer,None,Failed
TXN000093,Credit Card,Amex,Pending
TXN000094,PayPal,None,Failed
TXN000095,Credit Card,Amex,Failed
TXN000096,Debit Card,Amex,Failed
TXN000097,PayPal,None,Failed
TXN000098,Crypto,None,Failed
TXN000099,PayPal,None,Pending
TXN000100,PayPal,None,Pending
TXN000101,Debit Card,Amex,Success
TXN000102,Crypto,None,Failed
TXN000103,PayPal,None,Success
TXN000104,Debit Card,MasterCard,Pending
TXN000105,PayPal,None,Failed
TXN000106,Crypto,None,Pending
TXN000107,Bank Transfer,None,Failed
TXN000108,PayPal,None,Pending
TXN000109,Crypto,None,Failed
TXN000110,PayPal,None,Failed
TXN000111,Bank Transfer,None,Success
TXN000112,PayPal,None,Pending
TXN000113,Bank Transfer,None,Pending
TXN000114,PayPal,None,Pending
TXN000115,PayPal,None,Success
TXN000116,Credit Card,None,Failed
TXN000117,Bank Transfer,None,Failed
TXN000118,Crypto,None,Pending
TXN000119,PayPal,None,Success
TXN000120,Crypto,None,Pending
TXN000121,Bank Transfer,None,Success
TXN000122,Debit Card,Visa,Success
TXN000123,Credit Card,None,Pending
TXN000124,Credit Card,Amex,Pending
TXN000125,PayPal,None,Success
TXN000126,Crypto,None,Failed
TXN000127,PayPal,None,Success
TXN000128,Credit Card,MasterCard,Pending
TXN000129,Crypto,None,Pending
TXN000130,Bank Transfer,None,Failed
TXN000131,PayPal,None,Failed
TXN000132,Bank Transfer,None,Pending
TXN000133,Credit Card,None,Pending
TXN000134,Credit Card,Visa,Success
TXN000135,Debit Card,MasterCard,Success
TXN000136,Credit Card,Amex,Failed
TXN000137,PayPal,None,Pending
TXN000138,Debit Card,Amex,Success
TXN000139,Bank Transfer,None,Pending
TXN000140,Crypto,None,Pending
TXN000141,Debit Card,MasterCard,Failed
TXN000142,Credit Card,Amex,Pending
TXN000143,Credit Card,None,Failed
TXN000144,Debit Card,MasterCard,Failed
TXN000145,Bank Transfer,None,Failed
TXN000146,Bank Transfer,None,Success
TXN000147,Crypto,None,Success
TXN000148,PayPal,None,Success
TXN000149,Crypto,None,Failed
TXN000150,Credit Card,Visa,Success
TXN000151,Debit Card,Visa,Failed
TXN000152,Bank Transfer,None,Pending
TXN000153,PayPal,None,Pending
TXN000154,Bank Transfer,None,Pending
TXN000155,Debit Card,MasterCard,Success
TXN000156,PayPal,None,Failed
TXN000157,Debit Card,Visa,Success
TXN000158,Credit Card,MasterCard,Success
TXN000159,Bank Transfer,None,Pending
TXN000160,Crypto,None,Pending
TXN000161,Crypto,None,Pending
TXN000162,Credit Card,None,Failed
TXN000163,PayPal,None,Success
TXN000164,Credit Card,MasterCard,Failed
TXN000165,Credit Card,MasterCard,Success
TXN000166,PayPal,None,Success
TXN000167,Credit Card,Amex,Failed
TXN000168,Debit Card,Amex,Failed
TXN000169,Crypto,None,Success
TXN000170,Bank Transfer,None,Pending
TXN000171,Crypto,None,Success
TXN000172,Bank Transfer,None,Pending
TXN000173,PayPal,None,Pending
TXN000174,Debit Card,Visa,Failed
TXN000175,PayPal,None,Failed
TXN000176,Bank Transfer,None,Pending
TXN000177,PayPal,None,Pending
TXN000178,Bank Transfer,None,Success
TXN000179,PayPal,None,Success
TXN000180,Credit Card,None,Success
TXN000181,Bank Transfer,None,Failed
TXN000182,Debit Card,Amex,Pending
TXN000183,Credit Card,MasterCard,Pending
TXN000184,Crypto,None,Failed
TXN000185,PayPal,None,Success
TXN000186,Debit Card,Amex,Success
TXN000187,Crypto,None,Failed
TXN000188,Bank Transfer,None,Success
TXN000189,Credit Card,Visa,Success
TXN000190,Bank Transfer,None,Success
TXN000191,Bank Transfer,None,Pending
TXN000192,Debit Card,MasterCard,Success
TXN000193,PayPal,None,Success
TXN000194,PayPal,None,Success
TXN000195,Bank Transfer,None,Success
TXN000196,Bank Transfer,None,Pending
TXN000197,Crypto,None,Failed
TXN000198,Bank Transfer,None,Success
TXN000199,Debit Card,None,Pending
TXN000200,Crypto,None,Failed
TXN000201,Credit Card,Amex,Success
TXN000202,PayPal,None,Failed
TXN000203,Debit Card,Visa,Failed
TXN000204,PayPal,None,Pending
