transaction_id,user_id,product_id,amount,payment_method,status,timestamp
TXN000000,1742,462,208.12,Credit Card,Success,2024-01-01 00:00:00
TXN000001,3991,314,208.12,Bank Transfer,Pending,2024-01-01 00:01:00
TXN000002,2544,197,208.12,Bank Transfer,Success,2024-01-01 00:02:00
TXN000003,1168,496,208.12,Bank Transfer,Success,2024-01-01 00:03:00
TXN000004,1196,92,208.12,Crypto,Pending,2024-01-01 00:04:00
TXN000005,4261,285,208.12,Bank Transfer,Failed,2024-01-01 00:05:00
TXN000006,919,469,208.12,Credit Card,Pending,2024-01-01 00:06:00
TXN000007,49,185,208.12,Bank Transfer,Pending,2024-01-01 00:07:00
TXN000008,4948,175,208.12,PayPal,Success,2024-01-01 00:08:00
TXN000009,2573,216,208.12,Crypto,Pending,2024-01-01 00:09:00
TXN000010,4610,347,208.12,PayPal,Pending,2024-01-01 00:10:00
TXN000011,1957,96,208.12,Bank Transfer,Success,2024-01-01 00:11:00
TXN000012,333,90,208.12,Credit Card,Pending,2024-01-01 00:12:00
TXN000013,4974,17,208.12,Crypto,Success,2024-01-01 00:13:00
TXN000014,4097,41,208.12,Debit Card,Failed,2024-01-01 00:14:00
TXN000015,1032,343,208.12,Debit Card,Failed,2024-01-01 00:15:00
TXN000016,757,414,208.12,Bank Transfer,Pending,2024-01-01 00:16:00
TXN000017,1478,458,208.12,Crypto,Success,2024-01-01 00:17:00
TXN000018,3941,47,208.12,Credit Card,Failed,2024-01-01 00:18:00
TXN000019,4036,140,208.12,Credit Card,Success,2024-01-01 00:19:00
TXN000020,1897,11,208.12,Crypto,Pending,2024-01-01 00:20:00
TXN000021,802,93,208.12,PayPal,Failed,2024-01-01 00:21:00
TXN000022,3995,255,208.12,Debit Card,Success,2024-01-01 00:22:00
TXN000023,2530,423,208.12,Crypto,Failed,2024-01-01 00:23:00
TXN000024,313,327,208.12,PayPal,Pending,2024-01-01 00:24:00
TXN000025,4765,412,208.12,Credit Card,Success,2024-01-01 00:25:00
TXN000026,3727,44,208.12,PayPal,Failed,2024-01-01 00:26:00
TXN000027,2356,383,208.12,Bank Transfer,Failed,2024-01-01 00:27:00
TXN000028,663,411,208.12,Bank Transfer,Success,2024-01-01 00:28:00
TXN000029,2251,369,208.12,Bank Transfer,Failed,2024-01-01 00:29:00
TXN000030,67,173,208.12,Bank Transfer,Pending,2024-01-01 00:30:00
TXN000031,4994,28,208.12,Debit Card,Pending,2024-01-01 00:31:00
TXN000032,4327,81,208.12,Crypto,Pending,2024-01-01 00:32:00
TXN000033,2674,306,208.12,Credit Card,Pending,2024-01-01 00:33:00
TXN000034,1290,305,208.12,Debit Card,Success,2024-01-01 00:34:00
TXN000035,185,443,208.12,Bank Transfer,Pending,2024-01-01 00:35:00
TXN000036,1744,292,208.12,PayPal,Pending,2024-01-01 00:36:00
TXN000037,2676,319,208.12,Crypto,Failed,2024-01-01 00:37:00
TXN000038,4402,349,208.12,Crypto,Success,2024-01-01 00:38:00
TXN000039,3048,136,208.12,Debit Card,Failed,2024-01-01 00:39:00
TXN000040,1586,360,208.12,Credit Card,Pending,2024-01-01 00:40:00
TXN000041,2662,381,208.12,Credit Card,Success,2024-01-01 00:41:00
TXN000042,3393,431,208.12,Crypto,Success,2024-01-01 00:42:00
TXN000043,4496,202,208.12,Bank Transfer,Pending,2024-01-01 00:43:00
TXN000044,775,330,208.12,PayPal,Success,2024-01-01 00:44:00
TXN000045,2662,385,208.12,Crypto,Failed,2024-01-01 00:45:00
TXN000046,4601,212,208.12,Crypto,Success,2024-01-01 00:46:00
TXN000047,3249,292,208.12,Credit Card,Failed,2024-01-01 00:47:00
TXN000048,2004,226,208.12,Crypto,Pending,2024-01-01 00:48:00
TXN000049,636,231,208.12,Bank Transfer,Pending,2024-01-01 00:49:00
TXN000050,393,82,208.12,Crypto,Success,2024-01-01 00:50:00
TXN000051,4606,54,208.12,PayPal,Success,2024-01-01 00:51:00
TXN000052,3706,70,208.12,Debit Card,Pending,2024-01-01 00:52:00
TXN000053,3470,247,208.12,Debit Card,Pending,2024-01-01 00:53:00
TXN000054,913,5,208.12,Credit Card,Success,2024-01-01 00:54:00
TXN000055,2849,413,208.12,Crypto,Success,2024-01-01 00:55:00
TXN000056,4922,375,208.12,Credit Card,Pending,2024-01-01 00:56:00
TXN000057,3400,500,208.12,Credit Card,Success,2024-01-01 00:57:00
TXN000058,3032,460,208.12,Debit Card,Success,2024-01-01 00:58:00
TXN000059,852,348,208.12,Debit Card,Failed,2024-01-01 00:59:00
TXN000060,3546,132,208.12,Credit Card,Success,2024-01-01 01:00:00
TXN000061,448,403,208.12,Crypto,Pending,2024-01-01 01:01:00
TXN000062,949,427,208.12,Credit Card,Failed,2024-01-01 01:02:00
TXN000063,4303,46,208.12,PayPal,Failed,2024-01-01 01:03:00
TXN000064,2907,7,208.12,PayPal,Failed,2024-01-01 01:04:00
TXN000065,1532,100,208.12,Debit Card,Failed,2024-01-01 01:05:00
TXN000066,821,429,208.12,Bank Transfer,Failed,2024-01-01 01:06:00
TXN000067,1423,47,208.12,Crypto,Failed,2024-01-01 01:07:00
TXN000068,1600,400,208.12,Crypto,Pending,2024-01-01 01:08:00
TXN000069,2328,397,208.12,Debit Card,Pending,2024-01-01 01:09:00
TXN000070,3075,309,208.12,Bank Transfer,Success,2024-01-01 01:10:00
TXN000071,1453,70,208.12,Crypto,Failed,2024-01-01 01:11:00
TXN000072,225,468,208.12,Credit Card,Pending,2024-01-01 01:12:00
TXN000073,4799,14,208.12,PayPal,Failed,2024-01-01 01:13:00
TXN000074,1622,493,208.12,Credit Card,Success,2024-01-01 01:14:00
TXN000075,355,296,208.12,Credit Card,Pending,2024-01-01 01:15:00
TXN000076,3097,240,208.12,Crypto,Pending,2024-01-01 01:16:00
TXN000077,67,83,208.12,Credit Card,Failed,2024-01-01 01:17:00
TXN000078,3632,345,208.12,Bank Transfer,Pending,2024-01-01 01:18:00
TXN000079,1088,115,208.12,Crypto,Failed,2024-01-01 01:19:00
TXN000080,1453,440,208.12,Credit Card,Success,2024-01-01 01:20:00
TXN000081,4615,221,208.12,Credit Card,Pending,2024-01-01 01:21:00
TXN000082,4692,429,208.12,Credit Card,Pending,2024-01-01 01:22:00
TXN000083,245,334,208.12,Credit Card,Success,2024-01-01 01:23:00
TXN000084,405,72,208.12,Crypto,Success,2024-01-01 01:24:00
TXN000085,4312,151,208.12,Bank Transfer,Pending,2024-01-01 01:25:00
TXN000086,2367,450,208.12,Crypto,Success,2024-01-01 01:26:00
TXN000087,4612,209,208.12,Credit Card,Failed,2024-01-01 01:27:00
TXN000088,3777,142,208.12,Debit Card,Success,2024-01-01 01:28:00
TXN000089,4803,125,208.12,PayPal,Success,2024-01-01 01:29:00
TXN000090,830,328,208.12,Debit Card,Failed,2024-01-01 01:30:00
TXN000091,1647,284,208.12,PayPal,Success,2024-01-01 01:31:00
TXN000092,2582,458,208.12,Bank Transfer,Failed,2024-01-01 01:32:00
TXN000093,4658,410,208.12,Credit Card,Pending,2024-01-01 01:33:00
TXN000094,2063,178,208.12,PayPal,Failed,2024-01-01 01:34:00
TXN000095,1287,485,208.12,Credit Card,Failed,2024-01-01 01:35:00
TXN000096,4727,20,208.12,Debit Card,Failed,2024-01-01 01:36:00
TXN000097,248,421,208.12,PayPal,Failed,2024-01-01 01:37:00
TXN000098,1764,136,208.12,Crypto,Failed,2024-01-01 01:38:00
TXN000099,1105,114,208.12,PayPal,Pending,2024-01-01 01:39:00
TXN000100,4107,152,208.12,PayPal,Pending,2024-01-01 01:40:00
TXN000101,114,48,208.12,Debit Card,Success,2024-01-01 01:41:00
TXN000102,4076,321,208.12,Crypto,Failed,2024-01-01 01:42:00
TXN000103,4933,268,208.12,PayPal,Success,2024-01-01 01:43:00
TXN000104,3487,194,208.12,Debit Card,Pending,2024-01-01 01:44:00
TXN000105,4201,12,208.12,PayPal,Failed,2024-01-01 01:45:00
TXN000106,3469,29,208.12,Crypto,Pending,2024-01-01 01:46:00
TXN000107,3709,290,208.12,Bank Transfer,Failed,2024-01-01 01:47:00
TXN000108,968,415,208.12,PayPal,Pending,2024-01-01 01:48:00
TXN000109,4047,165,208.12,Crypto,Failed,2024-01-01 01:49:00
TXN000110,1402,148,208.12,PayPal,Failed,2024-01-01 01:50:00
TXN000111,3607,366,208.12,Bank Transfer,Success,2024-01-01 01:51:00
TXN000112,2126,43,208.12,PayPal,Pending,2024-01-01 01:52:00
TXN000113,3896,238,208.12,Bank Transfer,Pending,2024-01-01 01:53:00
TXN000114,1357,392,208.12,PayPal,Pending,2024-01-01 01:54:00
TXN000115,3279,58,208.12,PayPal,Success,2024-01-01 01:55:00
TXN000116,574,260,208.12,Credit Card,Failed,2024-01-01 01:56:00
TXN000117,2464,447,208.12,Bank Transfer,Failed,2024-01-01 01:57:00
TXN000118,1970,39,208.12,Crypto,Pending,2024-01-01 01:58:00
TXN000119,393,338,208.12,PayPal,Success,2024-01-01 01:59:00
TXN000120,3980,319,208.12,Crypto,Pending,2024-01-01 02:00:00
TXN000121,1843,359,208.12,Bank Transfer,Success,2024-01-01 02:01:00
TXN000122,250,80,208.12,Debit Card,Success,2024-01-01 02:02:00
TXN000123,2520,431,208.12,Credit Card,Pending,2024-01-01 02:03:00
TXN000124,187,218,208.12,Credit Card,Pending,2024-01-01 02:04:00
TXN000125,937,234,208.12,PayPal,Success,2024-01-01 02:05:00
TXN000126,3368,85,208.12,Crypto,Failed,2024-01-01 02:06:00
TXN000127,171,466,208.12,PayPal,Success,2024-01-01 02:07:00
TXN000128,4755,3,208.12,Credit Card,Pending,2024-01-01 02:08:00
TXN000129,1106,18,208.12,Crypto,Pending,2024-01-01 02:09:00
TXN000130,4005,267,208.12,Bank Transfer,Failed,2024-01-01 02:10:00
TXN000131,4915,456,208.12,PayPal,Failed,2024-01-01 02:11:00
TXN000132,203,429,208.12,Bank Transfer,Pending,2024-01-01 02:12:00
TXN000133,1696,19,208.12,Credit Card,Pending,2024-01-01 02:13:00
TXN000134,3781,499,208.12,Credit Card,Success,2024-01-01 02:14:00
TXN000135,3352,436,208.12,Debit Card,Success,2024-01-01 02:15:00
TXN000136,3625,393,208.12,Credit Card,Failed,2024-01-01 02:16:00
TXN000137,1263,343,208.12,PayPal,Pending,2024-01-01 02:17:00
TXN000138,480,132,208.12,Debit Card,Success,2024-01-01 02:18:00
TXN000139,3690,444,208.12,Bank Transfer,Pending,2024-01-01 02:19:00
TXN000140,1636,101,208.12,Crypto,Pending,2024-01-01 02:20:00
TXN000141,4918,330,208.12,Debit Card,Failed,2024-01-01 02:21:00
TXN000142,3940,2,208.12,Credit Card,Pending,2024-01-01 02:22:00
TXN000143,2765,368,208.12,Credit Card,Failed,2024-01-01 02:23:00
TXN000144,1940,59,208.12,Debit Card,Failed,2024-01-01 02:24:00
TXN000145,4750,446,208.12,Bank Transfer,Failed,2024-01-01 02:25:00
TXN000146,3535,260,208.12,Bank Transfer,Success,2024-01-01 02:26:00
TXN000147,1877,441,208.12,Crypto,Success,2024-01-01 02:27:00
TXN000148,3451,37,208.12,PayPal,Success,2024-01-01 02:28:00
TXN000149,2104,492,208.12,Crypto,Failed,2024-01-01 02:29:00
TXN000150,1268,328,208.12,Credit Card,Success,2024-01-01 02:30:00
TXN000151,4141,120,208.12,Debit Card,Failed,2024-01-01 02:31:00
TXN000152,3022,238,208.12,Bank Transfer,Pending,2024-01-01 02:32:00
TXN000153,951,338,208.12,PayPal,Pending,2024-01-01 02:33:00
TXN000154,4255,54,208.12,Bank Transfer,Pending,2024-01-01 02:34:00
TXN000155,1876,313,208.12,Debit Card,Success,2024-01-01 02:35:00
TXN000156,737,8,208.12,PayPal,Failed,2024-01-01 02:36:00
TXN000157,4756,141,208.12,Debit Card,Success,2024-01-01 02:37:00
TXN000158,915,424,208.12,Credit Card,Success,2024-01-01 02:38:00
TXN000159,3678,140,208.12,Bank Transfer,Pending,2024-01-01 02:39:00
TXN000160,707,229,208.12,Crypto,Pending,2024-01-01 02:40:00
TXN000161,2024,259,208.12,Crypto,Pending,2024-01-01 02:41:00
TXN000162,1936,238,208.12,Credit Card,Failed,2024-01-01 02:42:00
TXN000163,2601,16,208.12,PayPal,Success,2024-01-01 02:43:00
TXN000164,2350,282,208.12,Credit Card,Failed,2024-01-01 02:44:00
TXN000165,1650,17,208.12,Credit Card,Success,2024-01-01 02:45:00
TXN000166,4112,436,208.12,PayPal,Success,2024-01-01 02:46:00
TXN000167,75,273,208.12,Credit Card,Failed,2024-01-01 02:47:00
TXN000168,4259,293,208.12,Debit Card,Failed,2024-01-01 02:48:00
TXN000169,750,465,208.12,Crypto,Success,2024-01-01 02:49:00
TXN000170,1395,256,208.12,Bank Transfer,Pending,2024-01-01 02:50:00
TXN000171,513,162,208.12,Crypto,Success,2024-01-01 02:51:00
TXN000172,1090,325,208.12,Bank Transfer,Pending,2024-01-01 02:52:00
TXN000173,370,434,208.12,PayPal,Pending,2024-01-01 02:53:00
TXN000174,2419,222,208.12,Debit Card,Failed,2024-01-01 02:54:00
TXN000175,2004,75,208.12,PayPal,Failed,2024-01-01 02:55:00
TXN000176,1375,203,208.12,Bank Transfer,Pending,2024-01-01 02:56:00
TXN000177,4881,154,208.12,PayPal,Pending,2024-01-01 02:57:00
TXN000178,4567,477,208.12,Bank Transfer,Success,2024-01-01 02:58:00
TXN000179,3815,216,208.12,PayPal,Success,2024-01-01 02:59:00
TXN000180,3737,373,208.12,Credit Card,Success,2024-01-01 03:00:00
TXN000181,3393,445,208.12,Bank Transfer,Failed,2024-01-01 03:01:00
TXN000182,2119,480,208.12,Debit Card,Pending,2024-01-01 03:02:00
TXN000183,1805,484,208.12,Credit Card,Pending,2024-01-01 03:03:00
TXN000184,1296,38,208.12,Crypto,Failed,2024-01-01 03:04:00
TXN000185,2585,237,208.12,PayPal,Success,2024-01-01 03:05:00
TXN000186,1356,61,208.12,Debit Card,Success,2024-01-01 03:06:00
TXN000187,3083,468,208.12,Crypto,Failed,2024-01-01 03:07:00
TXN000188,2111,464,208.12,Bank Transfer,Success,2024-01-01 03:08:00
TXN000189,1032,463,208.12,Credit Card,Success,2024-01-01 03:09:00
TXN000190,831,340,208.12,Bank Transfer,Success,2024-01-01 03:10:00
TXN000191,3429,354,208.12,Bank Transfer,Pending,2024-01-01 03:11:00
TXN000192,3388,114,208.12,Debit Card,Success,2024-01-01 03:12:00
TXN000193,3820,338,208.12,PayPal,Success,2024-01-01 03:13:00
TXN000194,4059,441,208.12,PayPal,Success,2024-01-01 03:14:00
