interaction_id,user_id,product_id,action,timestamp
1,2353,339,Viewed,2024-01-01 00:00:00
2,4543,338,Wishlist,2024-01-01 00:01:00
3,3717,358,Purchased,2024-01-01 00:02:00
4,2893,390,Viewed,2024-01-01 00:03:00
5,4485,202,Purchased,2024-01-01 00:04:00
6,2644,49,Viewed,2024-01-01 00:05:00
7,111,497,Added to Cart,2024-01-01 00:06:00
8,3142,399,Viewed,2024-01-01 00:07:00
9,4802,172,Viewed,2024-01-01 00:08:00
10,648,264,Added to Cart,2024-01-01 00:09:00
11,879,449,Viewed,2024-01-01 00:10:00
12,4169,359,Purchased,2024-01-01 00:11:00
13,65,284,Purchased,2024-01-01 00:12:00
14,3199,146,Wishlist,2024-01-01 00:13:00
15,3107,408,Purchased,2024-01-01 00:14:00
16,3433,187,Wishlist,2024-01-01 00:15:00
17,3821,380,Added to Cart,2024-01-01 00:16:00
18,4850,323,Purchased,2024-01-01 00:17:00
19,1316,247,Viewed,2024-01-01 00:18:00
20,4790,416,Purchased,2024-01-01 00:19:00
21,2112,52,Viewed,2024-01-01 00:20:00
22,4398,236,Purchased,2024-01-01 00:21:00
23,1605,285,Wishlist,2024-01-01 00:22:00
24,213,449,Purchased,2024-01-01 00:23:00
25,1374,245,Wishlist,2024-01-01 00:24:00
26,3344,257,Purchased,2024-01-01 00:25:00
27,2736,256,Viewed,2024-01-01 00:26:00
28,2177,15,Wishlist,2024-01-01 00:27:00
29,1023,266,Purchased,2024-01-01 00:28:00
30,4565,402,Viewed,2024-01-01 00:29:00
31,1365,56,Added to Cart,2024-01-01 00:30:00
32,4387,295,Wishlist,2024-01-01 00:31:00
33,4818,123,Viewed,2024-01-01 00:32:00
34,2894,219,Added to Cart,2024-01-01 00:33:00
35,13,207,Viewed,2024-01-01 00:34:00
36,3390,484,Purchased,2024-01-01 00:35:00
37,1223,213,Wishlist,2024-01-01 00:36:00
38,2165,462,Wishlist,2024-01-01 00:37:00
39,4841,399,Wishlist,2024-01-01 00:38:00
40,3131,140,Purchased,2024-01-01 00:39:00
41,571,60,Viewed,2024-01-01 00:40:00
42,2876,224,Wishlist,2024-01-01 00:41:00
43,89,161,Added to Cart,2024-01-01 00:42:00
44,1256,192,Purchased,2024-01-01 00:43:00
45,3633,307,Purchased,2024-01-01 00:44:00
46,447,145,Viewed,2024-01-01 00:45:00
47,1955,46,Purchased,2024-01-01 00:46:00
48,4475,185,Added to Cart,2024-01-01 00:47:00
49,3997,497,Wishlist,2024-01-01 00:48:00
50,4541,269,Wishlist,2024-01-01 00:49:00
51,1690,462,Wishlist,2024-01-01 00:50:00
52,1776,315,Added to Cart,2024-01-01 00:51:00
53,3086,154,Purchased,2024-01-01 00:52:00
54,544,326,Added to Cart,2024-01-01 00:53:00
55,476,203,Viewed,2024-01-01 00:54:00
56,2831,59,Purchased,2024-01-01 00:55:00
57,4701,499,Added to Cart,2024-01-01 00:56:00
58,1379,318,Wishlist,2024-01-01 00:57:00
59,2033,126,Wishlist,2024-01-01 00:58:00
60,913,361,Added to Cart,2024-01-01 00:59:00
61,1916,409,Viewed,2024-01-01 01:00:00
62,663,240,Viewed,2024-01-01 01:01:00
63,1574,348,Wishlist,2024-01-01 01:02:00
64,1368,399,Added to Cart,2024-01-01 01:03:00
65,2261,334,Added to Cart,2024-01-01 01:04:00
66,2078,373,Purchased,2024-01-01 01:05:00
67,4259,351,Wishlist,2024-01-01 01:06:00
68,3600,358,Added to Cart,2024-01-01 01:07:00
69,448,19,Viewed,2024-01-01 01:08:00
70,1446,327,Wishlist,2024-01-01 01:09:00
71,829,58,Wishlist,2024-01-01 01:10:00
72,743,221,Added to Cart,2024-01-01 01:11:00
73,3236,374,Purchased,2024-01-01 01:12:00
74,3909,77,Wishlist,2024-01-01 01:13:00
75,121,286,Purchased,2024-01-01 01:14:00
76,662,56,Wishlist,2024-01-01 01:15:00
77,1137,105,Viewed,2024-01-01 01:16:00
78,3588,462,Added to Cart,2024-01-01 01:17:00
79,2654,128,Purchased,2024-01-01 01:18:00
80,4855,118,Purchased,2024-01-01 01:19:00
81,4679,493,Wishlist,2024-01-01 01:20:00
82,905,366,Wishlist,2024-01-01 01:21:00
83,1713,175,Viewed,2024-01-01 01:22:00
84,3128,198,Purchased,2024-01-01 01:23:00
85,4981,431,Wishlist,2024-01-01 01:24:00
86,4311,124,Wishlist,2024-01-01 01:25:00
87,2329,355,Added to Cart,2024-01-01 01:26:00
88,287,142,Purchased,2024-01-01 01:27:00
89,1937,123,Wishlist,2024-01-01 01:28:00
90,1518,303,Viewed,2024-01-01 01:29:00
91,4544,50,Purchased,2024-01-01 01:30:00
92,2304,405,Purchased,2024-01-01 01:31:00
93,2585,127,Viewed,2024-01-01 01:32:00
94,3578,270,Viewed,2024-01-01 01:33:00
95,255,386,Added to Cart,2024-01-01 01:34:00
96,1379,280,Purchased,2024-01-01 01:35:00
97,739,93,Added to Cart,2024-01-01 01:36:00
98,2023,143,Viewed,2024-01-01 01:37:00
99,2881,372,Wishlist,2024-01-01 01:38:00
100,3193,211,Viewed,2024-01-01 01:39:00
